league_id,league_name
1,LaLiga Santander
2,Serie A TIM
3,Premier League
4,Bundesliga
5,Ligue 1 Conforama
6,Liga NOS
7,Eredivisie
8,Süper Lig
9,SAF
10,Resto del mundo
11,Bundesliga 2
12,LIGA Bancomer MX
13,Pro League
14,Liga do Brasil
15,Saudi Professional League
16,Ö. Bundesliga
17,Scottish Prem
18,LaLiga 1 I 2 I 3
19,EFL Championship
20,RSL
21,MLS
22,Liga Dimayor
23,Camp. Scotiabank
24,CSL
25,Domino's Ligue 2
26,Calcio B
27,Superliga
28,Meiji Yasuda J1
29,Allsvenskan
30,Eliteserien
31,Ekstraklasa
32,K-League 1
33,EFL League One
34,Hyundai A-League
35,3. Liga
36,EFL League Two
37,SSE Airtricity Lge
38,Agentes Libres
