Player,Market_Value
Kylian Mbappé,"200,00 Mill. € "
Neymar,"180,00 Mill. € "
Lionel Messi,"160,00 Mill. € "
Mohamed Salah,"150,00 Mill. € "
Harry Kane,"150,00 Mill. € "
Antoine Griezmann,"150,00 Mill. € "
Kevin De Bruyne,"150,00 Mill. € "
Eden Hazard,"150,00 Mill. € "
Ousmane Dembélé,"120,00 Mill. € "
Raheem Sterling,"120,00 Mill. € "
N'Golo Kanté,"100,00 Mill. € "
Dele Alli,"100,00 Mill. € "
Paulo Dybala,"100,00 Mill. € "
Leroy Sané,"100,00 Mill. € "
Philippe Coutinho,"100,00 Mill. € "
Cristiano Ronaldo,"100,00 Mill. € "
Saúl Ñíguez,"90,00 Mill. € "
Paul Pogba,"90,00 Mill. € "
Mauro Icardi,"90,00 Mill. € "
Sadio Mané,"85,00 Mill. € "
Romelu Lukaku,"85,00 Mill. € "
Christian Eriksen,"85,00 Mill. € "
Jadon Sancho,"80,00 Mill. € "
Marco Asensio,"80,00 Mill. € "
Marcus Rashford,"80,00 Mill. € "
Bernardo Silva,"80,00 Mill. € "
Raphaël Varane,"80,00 Mill. € "
Roberto Firmino,"80,00 Mill. € "
Jan Oblak,"80,00 Mill. € "
Marc-André ter Stegen,"80,00 Mill. € "
Toni Kroos,"80,00 Mill. € "
Frenkie de Jong,"75,00 Mill. € "
Sergej Milinkovic-Savic,"75,00 Mill. € "
Virgil van Dijk,"75,00 Mill. € "
Lorenzo Insigne,"75,00 Mill. € "
Marco Verratti,"75,00 Mill. € "
Sergio Busquets,"75,00 Mill. € "
Pierre-Emerick Aubameyang,"75,00 Mill. € "
Sergio Agüero,"75,00 Mill. € "
Vinícius Júnior,"70,00 Mill. € "
Gabriel Jesus,"70,00 Mill. € "
Matthijs de Ligt,"70,00 Mill. € "
Lucas Hernández,"70,00 Mill. € "
José Giménez,"70,00 Mill. € "
Nabil Fekir,"70,00 Mill. € "
Samuel Umtiti,"70,00 Mill. € "
Kalidou Koulibaly,"70,00 Mill. € "
Koke,"70,00 Mill. € "
Jordi Alba,"70,00 Mill. € "
Thiago,"70,00 Mill. € "
David de Gea,"70,00 Mill. € "
Miralem Pjanic,"70,00 Mill. € "
Gareth Bale,"70,00 Mill. € "
Robert Lewandowski,"70,00 Mill. € "
Casemiro,"70,00 Mill. € "
Kai Havertz,"65,00 Mill. € "
Naby Keïta,"65,00 Mill. € "
Timo Werner,"65,00 Mill. € "
Thibaut Courtois,"65,00 Mill. € "
Alisson,"65,00 Mill. € "
Jorginho,"65,00 Mill. € "
Alexandre Lacazette,"65,00 Mill. € "
Heung-min Son,"65,00 Mill. € "
James Rodríguez,"65,00 Mill. € "
Arthur,"60,00 Mill. € "
Rodrigo,"60,00 Mill. € "
Christian Pulisic,"60,00 Mill. € "
Ederson,"60,00 Mill. € "
Milan Skriniar,"60,00 Mill. € "
John Stones,"60,00 Mill. € "
Anthony Martial,"60,00 Mill. € "
Marquinhos,"60,00 Mill. € "
Aymeric Laporte,"60,00 Mill. € "
Riyad Mahrez,"60,00 Mill. € "
Joshua Kimmich,"60,00 Mill. € "
Daniel Carvajal,"60,00 Mill. € "
Allan,"60,00 Mill. € "
Isco,"60,00 Mill. € "
Luis Suárez,"60,00 Mill. € "
Lucas Torreira,"55,00 Mill. € "
Luka Jovic,"55,00 Mill. € "
Kepa,"55,00 Mill. € "
João Cancelo,"55,00 Mill. € "
Sergi Roberto,"55,00 Mill. € "
David Alaba,"55,00 Mill. € "
Tanguy Ndombélé,"50,00 Mill. € "
Éder Militão,"50,00 Mill. € "
Federico Chiesa,"50,00 Mill. € "
Gianluigi Donnarumma,"50,00 Mill. € "
Trent Alexander-Arnold,"50,00 Mill. € "
Kingsley Coman,"50,00 Mill. € "
Andrew Robertson,"50,00 Mill. € "
Thomas,"50,00 Mill. € "
Thomas Lemar,"50,00 Mill. € "
Alessio Romagnoli,"50,00 Mill. € "
Florian Thauvin,"50,00 Mill. € "
Clément Lenglet,"50,00 Mill. € "
Memphis Depay,"50,00 Mill. € "
Niklas Süle,"50,00 Mill. € "
Leon Goretzka,"50,00 Mill. € "
Álvaro Morata,"50,00 Mill. € "
Granit Xhaka,"50,00 Mill. € "
Ciro Immobile,"50,00 Mill. € "
Kyle Walker,"50,00 Mill. € "
Alex Sandro,"50,00 Mill. € "
Willian,"50,00 Mill. € "
Edinson Cavani,"50,00 Mill. € "
Marco Reus,"50,00 Mill. € "
Ivan Rakitic,"50,00 Mill. € "
Richarlison,"45,00 Mill. € "
Davinson Sánchez,"45,00 Mill. € "
Fabinho,"45,00 Mill. € "
Federico Bernardeschi,"45,00 Mill. € "
Corentin Tolisso,"45,00 Mill. € "
Julian Brandt,"45,00 Mill. € "
Harry Maguire,"45,00 Mill. € "
Serge Gnabry,"45,00 Mill. € "
Marcelo Brozovic,"45,00 Mill. € "
Marcos Alonso,"45,00 Mill. € "
Suso,"45,00 Mill. € "
Stefan de Vrij,"45,00 Mill. € "
Konstantinos Manolas,"45,00 Mill. € "
Thorgan Hazard,"45,00 Mill. € "
Antonio Rüdiger,"45,00 Mill. € "
Douglas Costa,"45,00 Mill. € "
Ángel Di María,"45,00 Mill. € "
Alexis Sánchez,"45,00 Mill. € "
Gonzalo Higuaín,"45,00 Mill. € "
Rodrygo,"40,00 Mill. € "
Houssem Aouar,"40,00 Mill. € "
Nicolò Zaniolo,"40,00 Mill. € "
Mikel Oyarzabal,"40,00 Mill. € "
Fabián Ruiz,"40,00 Mill. € "
Giovani Lo Celso,"40,00 Mill. € "
